,title,original_title,overview,overview_word_count,release_date,release_year,original_language,genres,vote_average,vote_count,popularity
0,The Shawshank Redemption,The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",69,1994-09-23,1994,English,"['Drama', 'Crime']",8.712,29221,25.0715
1,The Godfather,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",48,1972-03-14,1972,English,"['Drama', 'Crime']",8.7,22068,21.6694
2,The Godfather Part Ii,The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",39,1974-12-20,1974,English,"['Drama', 'Crime']",8.6,13338,12.2619
3,Schindler'S List,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,29,1993-12-15,1993,English,"['Drama', 'History', 'War']",8.566,16860,10.4613
4,12 Angry Men,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",58,1957-04-10,1957,English,['Drama'],8.5,9528,8.8201
5,Spirited Away,千と千尋の神隠し,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",35,2001-07-20,2001,Japanese,"['Animation', 'Family', 'Fantasy']",8.5,17644,15.6819
6,The Dark Knight,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",67,2008-07-16,2008,English,"['Drama', 'Action', 'Crime', 'Thriller']",8.524,34705,19.9729
7,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",70,1995-10-20,1995,Hindi,"['Comedy', 'Drama', 'Romance']",8.515,4518,6.4296
8,The Green Mile,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",47,1999-12-10,1999,English,"['Fantasy', 'Drama', 'Crime']",8.503,18548,12.4422
9,Parasite,기생충,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",24,2019-05-30,2019,Korean,"['Comedy', 'Thriller', 'Drama']",8.496,19710,17.1466
